c_eps,regime,method,Gamma,X,pi_treat_avg
1.0,uncap,DoublyRobust-O-W,3,1.0,0.7473
1.0,uncap,DoublyRobust-O-W,4,-1.0,0.0
1.0,uncap,DoublyRobust-O-W,4,-0.6667,0.0
1.0,uncap,DoublyRobust-O-W,4,-0.3333,0.183
1.0,uncap,DoublyRobust-O-W,4,0.0,0.8739
1.0,uncap,DoublyRobust-O-W,4,0.3333,1.0
1.0,uncap,DoublyRobust-O-W,4,0.6667,1.0
1.0,uncap,DoublyRobust-O-W,4,1.0,0.7469
1.0,uncap,DoublyRobust-O-W,5,-1.0,0.1331
1.0,uncap,DoublyRobust-O-W,5,-0.6667,0.0
1.0,uncap,DoublyRobust-O-W,5,-0.3333,0.4171
1.0,uncap,DoublyRobust-O-W,5,0.0,0.8377
1.0,uncap,DoublyRobust-O-W,5,0.3333,1.0
1.0,uncap,DoublyRobust-O-W,5,0.6667,1.0
1.0,uncap,DoublyRobust-O-W,5,1.0,1.0
1.0,uncap,DoublyRobust-O-W,6,-1.0,0.1349
1.0,uncap,DoublyRobust-O-W,6,-0.6667,0.0
1.0,uncap,DoublyRobust-O-W,6,-0.3333,0.3458
1.0,uncap,DoublyRobust-O-W,6,0.0,0.7339
1.0,uncap,DoublyRobust-O-W,6,0.3333,1.0
1.0,uncap,DoublyRobust-O-W,6,0.6667,1.0
1.0,uncap,DoublyRobust-O-W,6,1.0,1.0
1.0,uncap,DoublyRobust-O-W,8,-1.0,0.0
1.0,uncap,DoublyRobust-O-W,8,-0.6667,0.0
1.0,uncap,DoublyRobust-O-W,8,-0.3333,0.2203
1.0,uncap,DoublyRobust-O-W,8,0.0,0.5807
1.0,uncap,DoublyRobust-O-W,8,0.3333,1.0
1.0,uncap,DoublyRobust-O-W,8,0.6667,1.0
1.0,uncap,DoublyRobust-O-W,8,1.0,1.0
1.0,cap,IPW-X-X,1,-1.0,0.0
1.0,cap,IPW-X-X,1,-0.6667,0.0
1.0,cap,IPW-X-X,1,-0.3333,0.6047
1.0,cap,IPW-X-X,1,0.0,1.0
1.0,cap,IPW-X-X,1,0.3333,1.0
1.0,cap,IPW-X-X,1,0.6667,0.6128
1.0,cap,IPW-X-X,1,1.0,0.2216
1.0,cap,IPW-X-X,1.5,-1.0,0.0
1.0,cap,IPW-X-X,1.5,-0.6667,0.0
1.0,cap,IPW-X-X,1.5,-0.3333,0.6047
1.0,cap,IPW-X-X,1.5,0.0,1.0
1.0,cap,IPW-X-X,1.5,0.3333,1.0
1.0,cap,IPW-X-X,1.5,0.6667,0.6128
1.0,cap,IPW-X-X,1.5,1.0,0.2216
1.0,cap,IPW-X-X,2,-1.0,0.0
1.0,cap,IPW-X-X,2,-0.6667,0.0
1.0,cap,IPW-X-X,2,-0.3333,0.6047
1.0,cap,IPW-X-X,2,0.0,1.0
1.0,cap,IPW-X-X,2,0.3333,1.0
1.0,cap,IPW-X-X,2,0.6667,0.6128
1.0,cap,IPW-X-X,2,1.0,0.2216
1.0,cap,IPW-X-X,2.5,-1.0,0.0
1.0,cap,IPW-X-X,2.5,-0.6667,0.0
1.0,cap,IPW-X-X,2.5,-0.3333,0.6047
1.0,cap,IPW-X-X,2.5,0.0,1.0
1.0,cap,IPW-X-X,2.5,0.3333,1.0
1.0,cap,IPW-X-X,2.5,0.6667,0.6128
1.0,cap,IPW-X-X,2.5,1.0,0.2216
1.0,cap,IPW-X-X,3,-1.0,0.0
1.0,cap,IPW-X-X,3,-0.6667,0.0
1.0,cap,IPW-X-X,3,-0.3333,0.6047
1.0,cap,IPW-X-X,3,0.0,1.0
1.0,cap,IPW-X-X,3,0.3333,1.0
1.0,cap,IPW-X-X,3,0.6667,0.6128
1.0,cap,IPW-X-X,3,1.0,0.2216
1.0,cap,IPW-X-X,4,-1.0,0.0
1.0,cap,IPW-X-X,4,-0.6667,0.0
1.0,cap,IPW-X-X,4,-0.3333,0.6047
1.0,cap,IPW-X-X,4,0.0,1.0
1.0,cap,IPW-X-X,4,0.3333,1.0
1.0,cap,IPW-X-X,4,0.6667,0.6128
1.0,cap,IPW-X-X,4,1.0,0.2216
1.0,cap,IPW-X-X,5,-1.0,0.0
1.0,cap,IPW-X-X,5,-0.6667,0.0
1.0,cap,IPW-X-X,5,-0.3333,0.6047
1.0,cap,IPW-X-X,5,0.0,1.0
1.0,cap,IPW-X-X,5,0.3333,1.0
1.0,cap,IPW-X-X,5,0.6667,0.6128
1.0,cap,IPW-X-X,5,1.0,0.2216
1.0,cap,IPW-X-X,6,-1.0,0.0
1.0,cap,IPW-X-X,6,-0.6667,0.0
1.0,cap,IPW-X-X,6,-0.3333,0.6047
1.0,cap,IPW-X-X,6,0.0,1.0
1.0,cap,IPW-X-X,6,0.3333,1.0
1.0,cap,IPW-X-X,6,0.6667,0.6128
1.0,cap,IPW-X-X,6,1.0,0.2216
1.0,cap,IPW-X-X,8,-1.0,0.0
1.0,cap,IPW-X-X,8,-0.6667,0.0
1.0,cap,IPW-X-X,8,-0.3333,0.6047
1.0,cap,IPW-X-X,8,0.0,1.0
1.0,cap,IPW-X-X,8,0.3333,1.0
1.0,cap,IPW-X-X,8,0.6667,0.6128
1.0,cap,IPW-X-X,8,1.0,0.2216
1.0,cap,DoublyRobust-X-X,1,-1.0,0.0
1.0,cap,DoublyRobust-X-X,1,-0.6667,0.0
1.0,cap,DoublyRobust-X-X,1,-0.3333,0.0
1.0,cap,DoublyRobust-X-X,1,0.0,1.0
1.0,cap,DoublyRobust-X-X,1,0.3333,1.0
1.0,cap,DoublyRobust-X-X,1,0.6667,0.4671
1.0,cap,DoublyRobust-X-X,1,1.0,1.0
1.0,cap,DoublyRobust-X-X,1.5,-1.0,0.0
1.0,cap,DoublyRobust-X-X,1.5,-0.6667,0.0
1.0,cap,DoublyRobust-X-X,1.5,-0.3333,0.0
1.0,cap,DoublyRobust-X-X,1.5,0.0,1.0
1.0,cap,DoublyRobust-X-X,1.5,0.3333,1.0
1.0,cap,DoublyRobust-X-X,1.5,0.6667,0.4671
1.0,cap,DoublyRobust-X-X,1.5,1.0,1.0
1.0,cap,DoublyRobust-X-X,2,-1.0,0.0
1.0,cap,DoublyRobust-X-X,2,-0.6667,0.0
1.0,cap,DoublyRobust-X-X,2,-0.3333,0.0
1.0,cap,DoublyRobust-X-X,2,0.0,1.0
1.0,cap,DoublyRobust-X-X,2,0.3333,1.0
1.0,cap,DoublyRobust-X-X,2,0.6667,0.4671
1.0,cap,DoublyRobust-X-X,2,1.0,1.0
1.0,cap,DoublyRobust-X-X,2.5,-1.0,0.0
1.0,cap,DoublyRobust-X-X,2.5,-0.6667,0.0
1.0,cap,DoublyRobust-X-X,2.5,-0.3333,0.0
1.0,cap,DoublyRobust-X-X,2.5,0.0,1.0
1.0,cap,DoublyRobust-X-X,2.5,0.3333,1.0
1.0,cap,DoublyRobust-X-X,2.5,0.6667,0.4671
1.0,cap,DoublyRobust-X-X,2.5,1.0,1.0
1.0,cap,DoublyRobust-X-X,3,-1.0,0.0
1.0,cap,DoublyRobust-X-X,3,-0.6667,0.0
1.0,cap,DoublyRobust-X-X,3,-0.3333,0.0
1.0,cap,DoublyRobust-X-X,3,0.0,1.0
1.0,cap,DoublyRobust-X-X,3,0.3333,1.0
1.0,cap,DoublyRobust-X-X,3,0.6667,0.4671
1.0,cap,DoublyRobust-X-X,3,1.0,1.0
1.0,cap,DoublyRobust-X-X,4,-1.0,0.0
1.0,cap,DoublyRobust-X-X,4,-0.6667,0.0
1.0,cap,DoublyRobust-X-X,4,-0.3333,0.0
1.0,cap,DoublyRobust-X-X,4,0.0,1.0
1.0,cap,DoublyRobust-X-X,4,0.3333,1.0
1.0,cap,DoublyRobust-X-X,4,0.6667,0.4671
1.0,cap,DoublyRobust-X-X,4,1.0,1.0
1.0,cap,DoublyRobust-X-X,5,-1.0,0.0
1.0,cap,DoublyRobust-X-X,5,-0.6667,0.0
1.0,cap,DoublyRobust-X-X,5,-0.3333,0.0
1.0,cap,DoublyRobust-X-X,5,0.0,1.0
1.0,cap,DoublyRobust-X-X,5,0.3333,1.0
1.0,cap,DoublyRobust-X-X,5,0.6667,0.4671
1.0,cap,DoublyRobust-X-X,5,1.0,1.0
1.0,cap,DoublyRobust-X-X,6,-1.0,0.0
1.0,cap,DoublyRobust-X-X,6,-0.6667,0.0
1.0,cap,DoublyRobust-X-X,6,-0.3333,0.0
1.0,cap,DoublyRobust-X-X,6,0.0,1.0
1.0,cap,DoublyRobust-X-X,6,0.3333,1.0
1.0,cap,DoublyRobust-X-X,6,0.6667,0.4671
1.0,cap,DoublyRobust-X-X,6,1.0,1.0
1.0,cap,DoublyRobust-X-X,8,-1.0,0.0
1.0,cap,DoublyRobust-X-X,8,-0.6667,0.0
1.0,cap,DoublyRobust-X-X,8,-0.3333,0.0
1.0,cap,DoublyRobust-X-X,8,0.0,1.0
1.0,cap,DoublyRobust-X-X,8,0.3333,1.0
1.0,cap,DoublyRobust-X-X,8,0.6667,0.4671
1.0,cap,DoublyRobust-X-X,8,1.0,1.0
1.0,cap,Direct-X-X,1,-1.0,0.0
1.0,cap,Direct-X-X,1,-0.6667,0.0
1.0,cap,Direct-X-X,1,-0.3333,0.5
1.0,cap,Direct-X-X,1,0.0,1.0
1.0,cap,Direct-X-X,1,0.3333,1.0
1.0,cap,Direct-X-X,1,0.6667,0.0
1.0,cap,Direct-X-X,1,1.0,0.0
1.0,cap,Direct-X-X,1.5,-1.0,0.0
1.0,cap,Direct-X-X,1.5,-0.6667,0.0
1.0,cap,Direct-X-X,1.5,-0.3333,0.5
1.0,cap,Direct-X-X,1.5,0.0,1.0
1.0,cap,Direct-X-X,1.5,0.3333,1.0
1.0,cap,Direct-X-X,1.5,0.6667,0.0
1.0,cap,Direct-X-X,1.5,1.0,0.0
1.0,cap,Direct-X-X,2,-1.0,0.0
1.0,cap,Direct-X-X,2,-0.6667,0.0
1.0,cap,Direct-X-X,2,-0.3333,0.5
1.0,cap,Direct-X-X,2,0.0,1.0
1.0,cap,Direct-X-X,2,0.3333,1.0
1.0,cap,Direct-X-X,2,0.6667,0.0
1.0,cap,Direct-X-X,2,1.0,0.0
1.0,cap,Direct-X-X,2.5,-1.0,0.0
1.0,cap,Direct-X-X,2.5,-0.6667,0.0
1.0,cap,Direct-X-X,2.5,-0.3333,0.5
1.0,cap,Direct-X-X,2.5,0.0,1.0
1.0,cap,Direct-X-X,2.5,0.3333,1.0
1.0,cap,Direct-X-X,2.5,0.6667,0.0
1.0,cap,Direct-X-X,2.5,1.0,0.0
1.0,cap,Direct-X-X,3,-1.0,0.0
1.0,cap,Direct-X-X,3,-0.6667,0.0
1.0,cap,Direct-X-X,3,-0.3333,0.5
1.0,cap,Direct-X-X,3,0.0,1.0
1.0,cap,Direct-X-X,3,0.3333,1.0
1.0,cap,Direct-X-X,3,0.6667,0.0
1.0,cap,Direct-X-X,3,1.0,0.0
1.0,cap,Direct-X-X,4,-1.0,0.0
1.0,cap,Direct-X-X,4,-0.6667,0.0
1.0,cap,Direct-X-X,4,-0.3333,0.5
1.0,cap,Direct-X-X,4,0.0,1.0
1.0,cap,Direct-X-X,4,0.3333,1.0
1.0,cap,Direct-X-X,4,0.6667,0.0
1.0,cap,Direct-X-X,4,1.0,0.0
1.0,cap,Direct-X-X,5,-1.0,0.0
1.0,cap,Direct-X-X,5,-0.6667,0.0
1.0,cap,Direct-X-X,5,-0.3333,0.5
1.0,cap,Direct-X-X,5,0.0,1.0
1.0,cap,Direct-X-X,5,0.3333,1.0
1.0,cap,Direct-X-X,5,0.6667,0.0
1.0,cap,Direct-X-X,5,1.0,0.0
1.0,cap,Direct-X-X,6,-1.0,0.0
1.0,cap,Direct-X-X,6,-0.6667,0.0
1.0,cap,Direct-X-X,6,-0.3333,0.5
1.0,cap,Direct-X-X,6,0.0,1.0
1.0,cap,Direct-X-X,6,0.3333,1.0
1.0,cap,Direct-X-X,6,0.6667,0.0
1.0,cap,Direct-X-X,6,1.0,0.0
1.0,cap,Direct-X-X,8,-1.0,0.0
1.0,cap,Direct-X-X,8,-0.6667,0.0
1.0,cap,Direct-X-X,8,-0.3333,0.5
1.0,cap,Direct-X-X,8,0.0,1.0
1.0,cap,Direct-X-X,8,0.3333,1.0
1.0,cap,Direct-X-X,8,0.6667,0.0
1.0,cap,Direct-X-X,8,1.0,0.0
1.0,cap,IPW-O-X,1,-1.0,0.0
1.0,cap,IPW-O-X,1,-0.6667,0.0
1.0,cap,IPW-O-X,1,-0.3333,0.6047
1.0,cap,IPW-O-X,1,0.0,1.0
1.0,cap,IPW-O-X,1,0.3333,1.0
1.0,cap,IPW-O-X,1,0.6667,0.6128
1.0,cap,IPW-O-X,1,1.0,0.2216
1.0,cap,IPW-O-X,1.5,-1.0,0.0
1.0,cap,IPW-O-X,1.5,-0.6667,0.0251
1.0,cap,IPW-O-X,1.5,-0.3333,0.5457
1.0,cap,IPW-O-X,1.5,0.0,1.0
1.0,cap,IPW-O-X,1.5,0.3333,1.0
1.0,cap,IPW-O-X,1.5,0.6667,0.6244
1.0,cap,IPW-O-X,1.5,1.0,0.2451
1.0,cap,IPW-O-X,2,-1.0,0.0
1.0,cap,IPW-O-X,2,-0.6667,0.0
1.0,cap,IPW-O-X,2,-0.3333,0.103
1.0,cap,IPW-O-X,2,0.0,1.0
1.0,cap,IPW-O-X,2,0.3333,1.0
1.0,cap,IPW-O-X,2,0.6667,0.5489
1.0,cap,IPW-O-X,2,1.0,0.0487
1.0,cap,IPW-O-X,2.5,-1.0,0.0
1.0,cap,IPW-O-X,2.5,-0.6667,0.0
1.0,cap,IPW-O-X,2.5,-0.3333,0.0447
1.0,cap,IPW-O-X,2.5,0.0,0.7569
1.0,cap,IPW-O-X,2.5,0.3333,1.0
1.0,cap,IPW-O-X,2.5,0.6667,0.5
1.0,cap,IPW-O-X,2.5,1.0,0.0
1.0,cap,IPW-O-X,3,-1.0,0.0
1.0,cap,IPW-O-X,3,-0.6667,0.0
1.0,cap,IPW-O-X,3,-0.3333,0.0224
1.0,cap,IPW-O-X,3,0.0,0.5167
1.0,cap,IPW-O-X,3,0.3333,1.0
1.0,cap,IPW-O-X,3,0.6667,0.5
1.0,cap,IPW-O-X,3,1.0,0.0
1.0,cap,IPW-O-X,4,-1.0,0.0
1.0,cap,IPW-O-X,4,-0.6667,0.0
1.0,cap,IPW-O-X,4,-0.3333,0.0039
1.0,cap,IPW-O-X,4,0.0,0.2621
1.0,cap,IPW-O-X,4,0.3333,1.0
1.0,cap,IPW-O-X,4,0.6667,0.5
1.0,cap,IPW-O-X,4,1.0,0.0
1.0,cap,IPW-O-X,5,-1.0,0.0
1.0,cap,IPW-O-X,5,-0.6667,0.0
1.0,cap,IPW-O-X,5,-0.3333,0.0
1.0,cap,IPW-O-X,5,0.0,0.0141
1.0,cap,IPW-O-X,5,0.3333,1.0
1.0,cap,IPW-O-X,5,0.6667,0.25
1.0,cap,IPW-O-X,5,1.0,0.0
1.0,cap,IPW-O-X,6,-1.0,0.0
1.0,cap,IPW-O-X,6,-0.6667,0.0
1.0,cap,IPW-O-X,6,-0.3333,0.0
1.0,cap,IPW-O-X,6,0.0,0.0077
1.0,cap,IPW-O-X,6,0.3333,1.0
1.0,cap,IPW-O-X,6,0.6667,0.25
1.0,cap,IPW-O-X,6,1.0,0.0
1.0,cap,IPW-O-X,8,-1.0,0.0
1.0,cap,IPW-O-X,8,-0.6667,0.0
1.0,cap,IPW-O-X,8,-0.3333,0.0
1.0,cap,IPW-O-X,8,0.0,0.0
1.0,cap,IPW-O-X,8,0.3333,1.0
1.0,cap,IPW-O-X,8,0.6667,0.25
1.0,cap,IPW-O-X,8,1.0,0.0
1.0,cap,DoublyRobust-O-X,1,-1.0,0.0
1.0,cap,DoublyRobust-O-X,1,-0.6667,0.0
1.0,cap,DoublyRobust-O-X,1,-0.3333,0.0
1.0,cap,DoublyRobust-O-X,1,0.0,1.0
1.0,cap,DoublyRobust-O-X,1,0.3333,1.0
1.0,cap,DoublyRobust-O-X,1,0.6667,0.4671
1.0,cap,DoublyRobust-O-X,1,1.0,1.0
1.0,cap,DoublyRobust-O-X,1.5,-1.0,0.0
1.0,cap,DoublyRobust-O-X,1.5,-0.6667,0.0
1.0,cap,DoublyRobust-O-X,1.5,-0.3333,0.2515
1.0,cap,DoublyRobust-O-X,1.5,0.0,1.0
1.0,cap,DoublyRobust-O-X,1.5,0.3333,1.0
1.0,cap,DoublyRobust-O-X,1.5,0.6667,0.4553
1.0,cap,DoublyRobust-O-X,1.5,1.0,0.75
1.0,cap,DoublyRobust-O-X,2,-1.0,0.0
1.0,cap,DoublyRobust-O-X,2,-0.6667,0.0
1.0,cap,DoublyRobust-O-X,2,-0.3333,0.4885
1.0,cap,DoublyRobust-O-X,2,0.0,0.9367
1.0,cap,DoublyRobust-O-X,2,0.3333,1.0
1.0,cap,DoublyRobust-O-X,2,0.6667,0.8134
1.0,cap,DoublyRobust-O-X,2,1.0,0.1986
1.0,cap,DoublyRobust-O-X,2.5,-1.0,0.0
1.0,cap,DoublyRobust-O-X,2.5,-0.6667,0.0
1.0,cap,DoublyRobust-O-X,2.5,-0.3333,0.4956
1.0,cap,DoublyRobust-O-X,2.5,0.0,0.8932
1.0,cap,DoublyRobust-O-X,2.5,0.3333,1.0
1.0,cap,DoublyRobust-O-X,2.5,0.6667,0.8978
1.0,cap,DoublyRobust-O-X,2.5,1.0,0.1559
1.0,cap,DoublyRobust-O-X,3,-1.0,0.0
1.0,cap,DoublyRobust-O-X,3,-0.6667,0.0
1.0,cap,DoublyRobust-O-X,3,-0.3333,0.4399
1.0,cap,DoublyRobust-O-X,3,0.0,0.8414
1.0,cap,DoublyRobust-O-X,3,0.3333,1.0
1.0,cap,DoublyRobust-O-X,3,0.6667,1.0
1.0,cap,DoublyRobust-O-X,3,1.0,0.1619
1.0,cap,DoublyRobust-O-X,4,-1.0,0.0
1.0,cap,DoublyRobust-O-X,4,-0.6667,0.0
1.0,cap,DoublyRobust-O-X,4,-0.3333,0.4046
1.0,cap,DoublyRobust-O-X,4,0.0,0.7631
1.0,cap,DoublyRobust-O-X,4,0.3333,1.0
1.0,cap,DoublyRobust-O-X,4,0.6667,1.0
1.0,cap,DoublyRobust-O-X,4,1.0,0.2842
1.0,cap,DoublyRobust-O-X,5,-1.0,0.0
1.0,cap,DoublyRobust-O-X,5,-0.6667,0.0
1.0,cap,DoublyRobust-O-X,5,-0.3333,0.3536
1.0,cap,DoublyRobust-O-X,5,0.0,0.7058
1.0,cap,DoublyRobust-O-X,5,0.3333,1.0
1.0,cap,DoublyRobust-O-X,5,0.6667,1.0
1.0,cap,DoublyRobust-O-X,5,1.0,0.3998
1.0,cap,DoublyRobust-O-X,6,-1.0,0.0
1.0,cap,DoublyRobust-O-X,6,-0.6667,0.0
1.0,cap,DoublyRobust-O-X,6,-0.3333,0.3552
1.0,cap,DoublyRobust-O-X,6,0.0,0.6667
1.0,cap,DoublyRobust-O-X,6,0.3333,1.0
1.0,cap,DoublyRobust-O-X,6,0.6667,1.0
1.0,cap,DoublyRobust-O-X,6,1.0,0.4402
1.0,cap,DoublyRobust-O-X,8,-1.0,0.0
1.0,cap,DoublyRobust-O-X,8,-0.6667,0.0
1.0,cap,DoublyRobust-O-X,8,-0.3333,0.3607
1.0,cap,DoublyRobust-O-X,8,0.0,0.6373
1.0,cap,DoublyRobust-O-X,8,0.3333,1.0
1.0,cap,DoublyRobust-O-X,8,0.6667,1.0
1.0,cap,DoublyRobust-O-X,8,1.0,0.4653
1.0,cap,Hajek-O-X,1,-1.0,0.0
1.0,cap,Hajek-O-X,1,-0.6667,0.0
1.0,cap,Hajek-O-X,1,-0.3333,0.6047
1.0,cap,Hajek-O-X,1,0.0,1.0
1.0,cap,Hajek-O-X,1,0.3333,1.0
1.0,cap,Hajek-O-X,1,0.6667,0.6128
1.0,cap,Hajek-O-X,1,1.0,0.2216
1.0,cap,Hajek-O-X,1.5,-1.0,0.0
1.0,cap,Hajek-O-X,1.5,-0.6667,0.0
1.0,cap,Hajek-O-X,1.5,-0.3333,0.4765
1.0,cap,Hajek-O-X,1.5,0.0,1.0
1.0,cap,Hajek-O-X,1.5,0.3333,1.0
1.0,cap,Hajek-O-X,1.5,0.6667,0.169
1.0,cap,Hajek-O-X,1.5,1.0,0.1391
1.0,cap,Hajek-O-X,2,-1.0,0.0
1.0,cap,Hajek-O-X,2,-0.6667,0.0
1.0,cap,Hajek-O-X,2,-0.3333,0.2407
1.0,cap,Hajek-O-X,2,0.0,0.5059
1.0,cap,Hajek-O-X,2,0.3333,0.2597
1.0,cap,Hajek-O-X,2,0.6667,0.0143
1.0,cap,Hajek-O-X,2,1.0,0.0131
1.0,cap,Hajek-O-X,2.5,-1.0,0.0
1.0,cap,Hajek-O-X,2.5,-0.6667,0.0
1.0,cap,Hajek-O-X,2.5,-0.3333,0.0
1.0,cap,Hajek-O-X,2.5,0.0,0.0
1.0,cap,Hajek-O-X,2.5,0.3333,0.0
1.0,cap,Hajek-O-X,2.5,0.6667,0.0
1.0,cap,Hajek-O-X,2.5,1.0,0.0
1.0,cap,Hajek-O-X,3,-1.0,0.0
1.0,cap,Hajek-O-X,3,-0.6667,0.0
1.0,cap,Hajek-O-X,3,-0.3333,0.0
1.0,cap,Hajek-O-X,3,0.0,0.0
1.0,cap,Hajek-O-X,3,0.3333,0.0
1.0,cap,Hajek-O-X,3,0.6667,0.0
1.0,cap,Hajek-O-X,3,1.0,0.0
1.0,cap,Hajek-O-X,4,-1.0,0.0
1.0,cap,Hajek-O-X,4,-0.6667,0.0
1.0,cap,Hajek-O-X,4,-0.3333,0.0
1.0,cap,Hajek-O-X,4,0.0,0.0
1.0,cap,Hajek-O-X,4,0.3333,0.0
1.0,cap,Hajek-O-X,4,0.6667,0.0
1.0,cap,Hajek-O-X,4,1.0,0.0
1.0,cap,Hajek-O-X,5,-1.0,0.0
1.0,cap,Hajek-O-X,5,-0.6667,0.0
1.0,cap,Hajek-O-X,5,-0.3333,0.0
1.0,cap,Hajek-O-X,5,0.0,0.0
1.0,cap,Hajek-O-X,5,0.3333,0.0
1.0,cap,Hajek-O-X,5,0.6667,0.0
1.0,cap,Hajek-O-X,5,1.0,0.0
1.0,cap,Hajek-O-X,6,-1.0,0.0
1.0,cap,Hajek-O-X,6,-0.6667,0.0
1.0,cap,Hajek-O-X,6,-0.3333,0.0
1.0,cap,Hajek-O-X,6,0.0,0.0
1.0,cap,Hajek-O-X,6,0.3333,0.0
1.0,cap,Hajek-O-X,6,0.6667,0.0
1.0,cap,Hajek-O-X,6,1.0,0.0
1.0,cap,Hajek-O-X,8,-1.0,0.0
1.0,cap,Hajek-O-X,8,-0.6667,0.0
1.0,cap,Hajek-O-X,8,-0.3333,0.0
1.0,cap,Hajek-O-X,8,0.0,0.0
1.0,cap,Hajek-O-X,8,0.3333,0.0
1.0,cap,Hajek-O-X,8,0.6667,0.0
1.0,cap,Hajek-O-X,8,1.0,0.0
1.0,cap,IPW-O-W,1,-1.0,0.0
1.0,cap,IPW-O-W,1,-0.6667,0.0
1.0,cap,IPW-O-W,1,-0.3333,0.6047
1.0,cap,IPW-O-W,1,0.0,1.0
1.0,cap,IPW-O-W,1,0.3333,1.0
1.0,cap,IPW-O-W,1,0.6667,0.6128
1.0,cap,IPW-O-W,1,1.0,0.2216
1.0,cap,IPW-O-W,1.5,-1.0,0.0
1.0,cap,IPW-O-W,1.5,-0.6667,0.0
1.0,cap,IPW-O-W,1.5,-0.3333,0.3104
1.0,cap,IPW-O-W,1.5,0.0,1.0
1.0,cap,IPW-O-W,1.5,0.3333,1.0
1.0,cap,IPW-O-W,1.5,0.6667,0.5534
1.0,cap,IPW-O-W,1.5,1.0,0.5906
1.0,cap,IPW-O-W,2,-1.0,0.0
1.0,cap,IPW-O-W,2,-0.6667,0.0
1.0,cap,IPW-O-W,2,-0.3333,0.1801
1.0,cap,IPW-O-W,2,0.0,0.8371
1.0,cap,IPW-O-W,2,0.3333,0.8819
1.0,cap,IPW-O-W,2,0.6667,0.7053
1.0,cap,IPW-O-W,2,1.0,0.8305
1.0,cap,IPW-O-W,2.5,-1.0,0.0
1.0,cap,IPW-O-W,2.5,-0.6667,0.0
1.0,cap,IPW-O-W,2.5,-0.3333,0.1653
1.0,cap,IPW-O-W,2.5,0.0,0.7099
1.0,cap,IPW-O-W,2.5,0.3333,0.8935
1.0,cap,IPW-O-W,2.5,0.6667,0.7609
1.0,cap,IPW-O-W,2.5,1.0,0.9079
1.0,cap,IPW-O-W,3,-1.0,0.0
1.0,cap,IPW-O-W,3,-0.6667,0.0
1.0,cap,IPW-O-W,3,-0.3333,0.123
1.0,cap,IPW-O-W,3,0.0,0.6716
1.0,cap,IPW-O-W,3,0.3333,0.8961
1.0,cap,IPW-O-W,3,0.6667,0.7698
1.0,cap,IPW-O-W,3,1.0,0.9799
1.0,cap,IPW-O-W,4,-1.0,0.0
1.0,cap,IPW-O-W,4,-0.6667,0.0
1.0,cap,IPW-O-W,4,-0.3333,0.1315
1.0,cap,IPW-O-W,4,0.0,0.5733
1.0,cap,IPW-O-W,4,0.3333,0.9594
1.0,cap,IPW-O-W,4,0.6667,0.8068
1.0,cap,IPW-O-W,4,1.0,0.9811
1.0,cap,IPW-O-W,5,-1.0,0.0
1.0,cap,IPW-O-W,5,-0.6667,0.0
1.0,cap,IPW-O-W,5,-0.3333,0.1419
1.0,cap,IPW-O-W,5,0.0,0.5426
1.0,cap,IPW-O-W,5,0.3333,0.9903
1.0,cap,IPW-O-W,5,0.6667,0.8058
1.0,cap,IPW-O-W,5,1.0,0.9742
1.0,cap,IPW-O-W,6,-1.0,0.0
1.0,cap,IPW-O-W,6,-0.6667,0.0
1.0,cap,IPW-O-W,6,-0.3333,0.1562
1.0,cap,IPW-O-W,6,0.0,0.5556
1.0,cap,IPW-O-W,6,0.3333,0.991
1.0,cap,IPW-O-W,6,0.6667,0.7594
1.0,cap,IPW-O-W,6,1.0,0.9933
1.0,cap,IPW-O-W,8,-1.0,0.0
1.0,cap,IPW-O-W,8,-0.6667,0.0
1.0,cap,IPW-O-W,8,-0.3333,0.1558
1.0,cap,IPW-O-W,8,0.0,0.5489
1.0,cap,IPW-O-W,8,0.3333,1.0
1.0,cap,IPW-O-W,8,0.6667,0.7588
1.0,cap,IPW-O-W,8,1.0,0.9933
1.0,cap,DoublyRobust-O-W,1,-1.0,0.0
1.0,cap,DoublyRobust-O-W,1,-0.6667,0.0
1.0,cap,DoublyRobust-O-W,1,-0.3333,0.0
1.0,cap,DoublyRobust-O-W,1,0.0,1.0
1.0,cap,DoublyRobust-O-W,1,0.3333,1.0
1.0,cap,DoublyRobust-O-W,1,0.6667,0.4671
1.0,cap,DoublyRobust-O-W,1,1.0,1.0
1.0,cap,DoublyRobust-O-W,1.5,-1.0,0.0
1.0,cap,DoublyRobust-O-W,1.5,-0.6667,0.0
1.0,cap,DoublyRobust-O-W,1.5,-0.3333,0.1095
1.0,cap,DoublyRobust-O-W,1.5,0.0,0.97
1.0,cap,DoublyRobust-O-W,1.5,0.3333,0.9014
1.0,cap,DoublyRobust-O-W,1.5,0.6667,0.8541
1.0,cap,DoublyRobust-O-W,1.5,1.0,0.6265
1.0,cap,DoublyRobust-O-W,2,-1.0,0.0
1.0,cap,DoublyRobust-O-W,2,-0.6667,0.0
1.0,cap,DoublyRobust-O-W,2,-0.3333,0.1065
1.0,cap,DoublyRobust-O-W,2,0.0,0.9622
1.0,cap,DoublyRobust-O-W,2,0.3333,0.7799
1.0,cap,DoublyRobust-O-W,2,0.6667,1.0
1.0,cap,DoublyRobust-O-W,2,1.0,0.6034
1.0,cap,DoublyRobust-O-W,2.5,-1.0,0.0
