c_eps,regime,method,Gamma,X,pi_treat_avg
1.0,uncap,Direct-X-X,2.5,0.6667,0.0
1.0,uncap,Direct-X-X,2.5,1.0,0.0
1.0,uncap,Direct-X-X,3,-1.0,0.0
1.0,uncap,Direct-X-X,3,-0.6667,0.0
1.0,uncap,Direct-X-X,3,-0.3333,0.5
1.0,uncap,Direct-X-X,3,0.0,1.0
1.0,uncap,Direct-X-X,3,0.3333,1.0
1.0,uncap,Direct-X-X,3,0.6667,0.0
1.0,uncap,Direct-X-X,3,1.0,0.0
1.0,uncap,Direct-X-X,4,-1.0,0.0
1.0,uncap,Direct-X-X,4,-0.6667,0.0
1.0,uncap,Direct-X-X,4,-0.3333,0.5
1.0,uncap,Direct-X-X,4,0.0,1.0
1.0,uncap,Direct-X-X,4,0.3333,1.0
1.0,uncap,Direct-X-X,4,0.6667,0.0
1.0,uncap,Direct-X-X,4,1.0,0.0
1.0,uncap,Direct-X-X,5,-1.0,0.0
1.0,uncap,Direct-X-X,5,-0.6667,0.0
1.0,uncap,Direct-X-X,5,-0.3333,0.5
1.0,uncap,Direct-X-X,5,0.0,1.0
1.0,uncap,Direct-X-X,5,0.3333,1.0
1.0,uncap,Direct-X-X,5,0.6667,0.0
1.0,uncap,Direct-X-X,5,1.0,0.0
1.0,uncap,Direct-X-X,6,-1.0,0.0
1.0,uncap,Direct-X-X,6,-0.6667,0.0
1.0,uncap,Direct-X-X,6,-0.3333,0.5
1.0,uncap,Direct-X-X,6,0.0,1.0
1.0,uncap,Direct-X-X,6,0.3333,1.0
1.0,uncap,Direct-X-X,6,0.6667,0.0
1.0,uncap,Direct-X-X,6,1.0,0.0
1.0,uncap,Direct-X-X,8,-1.0,0.0
1.0,uncap,Direct-X-X,8,-0.6667,0.0
1.0,uncap,Direct-X-X,8,-0.3333,0.5
1.0,uncap,Direct-X-X,8,0.0,1.0
1.0,uncap,Direct-X-X,8,0.3333,1.0
1.0,uncap,Direct-X-X,8,0.6667,0.0
1.0,uncap,Direct-X-X,8,1.0,0.0
1.0,uncap,IPW-O-X,1,-1.0,0.0
1.0,uncap,IPW-O-X,1,-0.6667,0.0
1.0,uncap,IPW-O-X,1,-0.3333,1.0
1.0,uncap,IPW-O-X,1,0.0,1.0
1.0,uncap,IPW-O-X,1,0.3333,1.0
1.0,uncap,IPW-O-X,1,0.6667,1.0
1.0,uncap,IPW-O-X,1,1.0,0.5
1.0,uncap,IPW-O-X,1.5,-1.0,0.0
1.0,uncap,IPW-O-X,1.5,-0.6667,0.5
1.0,uncap,IPW-O-X,1.5,-0.3333,0.7504
1.0,uncap,IPW-O-X,1.5,0.0,1.0
1.0,uncap,IPW-O-X,1.5,0.3333,1.0
1.0,uncap,IPW-O-X,1.5,0.6667,1.0
1.0,uncap,IPW-O-X,1.5,1.0,0.8585
1.0,uncap,IPW-O-X,2,-1.0,0.0
1.0,uncap,IPW-O-X,2,-0.6667,0.0
1.0,uncap,IPW-O-X,2,-0.3333,0.103
1.0,uncap,IPW-O-X,2,0.0,1.0
1.0,uncap,IPW-O-X,2,0.3333,1.0
1.0,uncap,IPW-O-X,2,0.6667,0.5489
1.0,uncap,IPW-O-X,2,1.0,0.0487
1.0,uncap,IPW-O-X,2.5,-1.0,0.0
1.0,uncap,IPW-O-X,2.5,-0.6667,0.0
1.0,uncap,IPW-O-X,2.5,-0.3333,0.0447
1.0,uncap,IPW-O-X,2.5,0.0,0.7569
1.0,uncap,IPW-O-X,2.5,0.3333,1.0
1.0,uncap,IPW-O-X,2.5,0.6667,0.5
1.0,uncap,IPW-O-X,2.5,1.0,0.0
1.0,uncap,IPW-O-X,3,-1.0,0.0
1.0,uncap,IPW-O-X,3,-0.6667,0.0
1.0,uncap,IPW-O-X,3,-0.3333,0.0224
1.0,uncap,IPW-O-X,3,0.0,0.5167
1.0,uncap,IPW-O-X,3,0.3333,1.0
1.0,uncap,IPW-O-X,3,0.6667,0.5
1.0,uncap,IPW-O-X,3,1.0,0.0
1.0,uncap,IPW-O-X,4,-1.0,0.0
1.0,uncap,IPW-O-X,4,-0.6667,0.0
1.0,uncap,IPW-O-X,4,-0.3333,0.0039
1.0,uncap,IPW-O-X,4,0.0,0.2621
1.0,uncap,IPW-O-X,4,0.3333,1.0
1.0,uncap,IPW-O-X,4,0.6667,0.5
1.0,uncap,IPW-O-X,4,1.0,0.0
1.0,uncap,IPW-O-X,5,-1.0,0.0
1.0,uncap,IPW-O-X,5,-0.6667,0.0
1.0,uncap,IPW-O-X,5,-0.3333,0.0
1.0,uncap,IPW-O-X,5,0.0,0.0141
1.0,uncap,IPW-O-X,5,0.3333,1.0
1.0,uncap,IPW-O-X,5,0.6667,0.25
1.0,uncap,IPW-O-X,5,1.0,0.0
1.0,uncap,IPW-O-X,6,-1.0,0.0
1.0,uncap,IPW-O-X,6,-0.6667,0.0
1.0,uncap,IPW-O-X,6,-0.3333,0.0
1.0,uncap,IPW-O-X,6,0.0,0.0077
1.0,uncap,IPW-O-X,6,0.3333,1.0
1.0,uncap,IPW-O-X,6,0.6667,0.25
1.0,uncap,IPW-O-X,6,1.0,0.0
1.0,uncap,IPW-O-X,8,-1.0,0.0
1.0,uncap,IPW-O-X,8,-0.6667,0.0
1.0,uncap,IPW-O-X,8,-0.3333,0.0
1.0,uncap,IPW-O-X,8,0.0,0.0
1.0,uncap,IPW-O-X,8,0.3333,1.0
1.0,uncap,IPW-O-X,8,0.6667,0.25
1.0,uncap,IPW-O-X,8,1.0,0.0
1.0,uncap,DoublyRobust-O-X,1,-1.0,0.0
1.0,uncap,DoublyRobust-O-X,1,-0.6667,0.0
1.0,uncap,DoublyRobust-O-X,1,-0.3333,0.75
1.0,uncap,DoublyRobust-O-X,1,0.0,1.0
1.0,uncap,DoublyRobust-O-X,1,0.3333,1.0
1.0,uncap,DoublyRobust-O-X,1,0.6667,1.0
1.0,uncap,DoublyRobust-O-X,1,1.0,1.0
1.0,uncap,DoublyRobust-O-X,1.5,-1.0,0.0
1.0,uncap,DoublyRobust-O-X,1.5,-0.6667,0.0
1.0,uncap,DoublyRobust-O-X,1.5,-0.3333,0.7605
1.0,uncap,DoublyRobust-O-X,1.5,0.0,1.0
1.0,uncap,DoublyRobust-O-X,1.5,0.3333,1.0
1.0,uncap,DoublyRobust-O-X,1.5,0.6667,1.0
1.0,uncap,DoublyRobust-O-X,1.5,1.0,1.0
1.0,uncap,DoublyRobust-O-X,2,-1.0,0.0
1.0,uncap,DoublyRobust-O-X,2,-0.6667,0.0
1.0,uncap,DoublyRobust-O-X,2,-0.3333,0.7952
1.0,uncap,DoublyRobust-O-X,2,0.0,1.0
1.0,uncap,DoublyRobust-O-X,2,0.3333,1.0
1.0,uncap,DoublyRobust-O-X,2,0.6667,1.0
1.0,uncap,DoublyRobust-O-X,2,1.0,1.0
1.0,uncap,DoublyRobust-O-X,2.5,-1.0,0.0
1.0,uncap,DoublyRobust-O-X,2.5,-0.6667,0.0
1.0,uncap,DoublyRobust-O-X,2.5,-0.3333,0.8788
1.0,uncap,DoublyRobust-O-X,2.5,0.0,0.9956
1.0,uncap,DoublyRobust-O-X,2.5,0.3333,1.0
1.0,uncap,DoublyRobust-O-X,2.5,0.6667,1.0
1.0,uncap,DoublyRobust-O-X,2.5,1.0,0.9352
1.0,uncap,DoublyRobust-O-X,3,-1.0,0.0
