dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
"X3(-1,0,1)",200,8,1.0,uncap,IPW-O-W,4.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,IPW-O-W,5.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,IPW-O-W,6.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,IPW-O-W,8.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,DoublyRobust-O-W,1.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,DoublyRobust-O-W,1.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,DoublyRobust-O-W,2.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,DoublyRobust-O-W,2.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,DoublyRobust-O-W,3.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,DoublyRobust-O-W,4.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,DoublyRobust-O-W,5.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,DoublyRobust-O-W,6.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,uncap,DoublyRobust-O-W,8.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.0,cap,IPW-X-X,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-X-X,1.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-X-X,2.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-X-X,2.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-X-X,3.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-X-X,4.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-X-X,5.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-X-X,6.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-X-X,8.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-X-X,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-X-X,1.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-X-X,2.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-X-X,2.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-X-X,3.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-X-X,4.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-X-X,5.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-X-X,6.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-X-X,8.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,Direct-X-X,1.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Direct-X-X,1.5,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Direct-X-X,2.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Direct-X-X,2.5,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Direct-X-X,3.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Direct-X-X,4.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Direct-X-X,5.0,0.0,0.0
