seed,Gamma,extension,realized_train,realized_train_dep,realized_test,exp_train,exp_test,objective_value,obj_kind,train_use_0,train_use_1,cap_0,cap_1
0,4.4817,shapley,0.6063636363636362,0.5701179387194256,0.5132707402785299,0.538417380234398,0.5282224171878853,0.8212558468436744,ipw_value,0.40000000000000024,0.5999999999999998,1.0,0.6
0,4.4817,knn,0.6063636363636362,0.5520550178738821,0.5063720680062428,0.5342124618275041,0.5245233188415552,0.8212558468436744,ipw_value,0.40000000000000024,0.5999999999999998,1.0,0.6
1,4.4817,shapley,0.5733333333333334,0.5618519585059212,0.5367221266141855,0.5382138115001144,0.5416962998173713,0.7746774804153322,ipw_value,0.4633333333333333,0.5366666666666666,1.0,0.6
1,4.4817,knn,0.5733333333333334,0.5562915845913564,0.5392943814155501,0.5395111536374992,0.5414568193340293,0.7746774804153322,ipw_value,0.4633333333333333,0.5366666666666666,1.0,0.6
2,4.4817,shapley,0.5866666666666667,0.5415041154416995,0.5297465387370157,0.5451592451250484,0.5459741542413732,0.6864613707334617,ipw_value,0.5533333333333333,0.44666666666666666,1.0,0.6
2,4.4817,knn,0.5866666666666667,0.5352344738932783,0.5322500104397994,0.5497730821484633,0.5500436560054764,0.6864613707334617,ipw_value,0.5533333333333333,0.44666666666666666,1.0,0.6
