dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,Hajek-O-X,5.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,Hajek-O-X,6.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,Hajek-O-X,8.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,IPW-O-W,1.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,IPW-O-W,1.5,0.8287,0.2248
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,IPW-O-W,2.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,IPW-O-W,2.5,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,IPW-O-W,3.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,IPW-O-W,4.0,1.0482,0.0289
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,IPW-O-W,5.0,1.048,0.0294
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,IPW-O-W,6.0,1.048,0.0294
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,IPW-O-W,8.0,1.0463,0.0339
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,DoublyRobust-O-W,1.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,DoublyRobust-O-W,1.5,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,DoublyRobust-O-W,2.0,1.0454,0.0238
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,DoublyRobust-O-W,2.5,1.0431,0.0277
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,DoublyRobust-O-W,3.0,0.9938,0.126
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,DoublyRobust-O-W,4.0,0.9927,0.1254
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,DoublyRobust-O-W,5.0,0.9922,0.1249
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,DoublyRobust-O-W,6.0,0.9924,0.1247
"X4(-1,-0.5,0.5,1)",300,8,1.0,uncap,DoublyRobust-O-W,8.0,0.9925,0.1247
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-X-X,1.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-X-X,1.5,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-X-X,2.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-X-X,2.5,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-X-X,3.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-X-X,4.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-X-X,5.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-X-X,6.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-X-X,8.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-X-X,1.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-X-X,1.5,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-X-X,2.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-X-X,2.5,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-X-X,3.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-X-X,4.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-X-X,5.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-X-X,6.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-X-X,8.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Direct-X-X,1.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Direct-X-X,1.5,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Direct-X-X,2.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Direct-X-X,2.5,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Direct-X-X,3.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Direct-X-X,4.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Direct-X-X,5.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Direct-X-X,6.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Direct-X-X,8.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-X,1.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-X,1.5,0.6601,0.4088
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-X,2.0,0.7032,0.2863
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-X,2.5,0.4458,0.2435
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-X,3.0,0.3799,0.1436
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-X,4.0,0.3256,0.188
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-X,5.0,0.2171,0.2171
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-X,6.0,0.2171,0.2171
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-X,8.0,0.2171,0.2171
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-X,1.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-X,1.5,1.0101,0.0332
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-X,2.0,0.832,0.1339
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-X,2.5,0.7165,0.1269
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-X,3.0,0.646,0.0523
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-X,4.0,0.6142,0.0571
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-X,5.0,0.6009,0.0723
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-X,6.0,0.5775,0.0762
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-X,8.0,0.5556,0.0674
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Hajek-O-X,1.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Hajek-O-X,1.5,0.2099,0.2764
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Hajek-O-X,2.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Hajek-O-X,2.5,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Hajek-O-X,3.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Hajek-O-X,4.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Hajek-O-X,5.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Hajek-O-X,6.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,Hajek-O-X,8.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-W,1.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-W,1.5,0.9419,0.194
