arm,X,outcome,count,w_hat,box_down,O_distort,OW_distort
0,-1.0,good,8,2.128918339305726,1.0362511249157627,1.0362511249157627,1.0362511249157627
0,-1.0,bad,16,2.128918339305726,1.0362511249157627,1.0362511249157627,1.0362511249157627
0,-0.9,good,9,2.1076575578164434,1.0167355337806179,1.0167355337806179,1.0167355337806179
0,-0.9,bad,6,2.1076575578164434,1.0167355337806179,1.0167355337806179,1.0167355337806179
0,-0.8,good,8,2.0867971784331916,0.9975874777614746,0.9975874777614746,0.9975874777614746
0,-0.8,bad,5,2.0867971784331916,0.9975874777614746,0.9975874777614745,0.9975874777614745
0,-0.7,good,13,2.066329660424385,0.9788000351073824,0.9788000351073828,0.9788000351073828
0,-0.7,bad,5,2.066329660424385,0.9788000351073824,0.9788000351073824,0.9788000351073824
0,-0.6,good,12,2.0462476050722582,0.960366414424012,0.960366414424012,0.960366414424012
0,-0.6,bad,4,2.0462476050722582,0.960366414424012,0.960366414424012,0.960366414424012
0,-0.5,good,13,2.026543752998335,0.9422799522186647,0.9422799522186645,0.9422799522186645
0,-0.5,bad,4,2.026543752998335,0.9422799522186647,0.9422799522186647,0.9422799522186647
0,-0.4,good,15,2.007210981539265,0.924534110491511,0.9245341104915108,0.9245341104915108
0,-0.4,bad,3,2.007210981539265,0.924534110491511,0.924534110491511,0.924534110491511
0,-0.3,good,10,1.988242302172085,0.9071224743722011,0.9071224743722011,0.9071224743722011
0,-0.3,bad,7,1.988242302172085,0.9071224743722011,0.9071224743722012,0.9071224743722012
0,-0.2,good,19,1.9696308579879602,0.8900387498009739,0.890038749800974,0.890038749800974
0,-0.2,bad,7,1.9696308579879602,0.8900387498009739,0.8900387498009739,0.8900387498009739
0,-0.1,good,7,1.951369921213517,0.8732767612534498,0.87327676125345,0.87327676125345
0,-0.1,bad,4,1.951369921213517,0.8732767612534498,0.8732767612534498,0.8732767612534498
0,0.0,good,19,1.9334528907788415,0.8568304495082615,0.8568304495082616,0.8568304495082616
0,0.0,bad,8,1.9334528907788415,0.8568304495082615,0.8568304495082615,0.8568304495082615
0,0.1,good,9,1.915873289931289,0.8406938694567321,0.8406938694567321,0.8406938694567321
0,0.1,bad,3,1.915873289931289,0.8406938694567321,0.840693869456732,0.840693869456732
0,0.2,good,15,1.8986247638942322,0.8248611879538068,0.824861187953807,0.824861187953807
0,0.2,bad,7,1.8986247638942322,0.8248611879538068,0.8248611879538067,0.8248611879538067
0,0.3,good,12,1.8817010775698941,0.8093266817094473,0.8093266817094472,0.8093266817094472
0,0.3,bad,5,1.8817010775698941,0.8093266817094473,0.8093266817094473,0.8093266817094473
0,0.4,good,11,1.8650961132854535,0.7940847352197484,0.7940847352197483,0.7940847352197483
0,0.4,bad,9,1.8650961132854535,0.7940847352197484,0.7940847352197484,0.7940847352197484
0,0.5,good,15,1.848803868581589,0.7791298387370096,0.7791298387370097,0.7791298387370097
0,0.5,bad,9,1.848803868581589,0.7791298387370096,0.7791298387370096,0.7791298387370096
0,0.6,good,18,1.8328184540426784,0.7644565862780424,0.7644565862780424,0.7644565862780424
0,0.6,bad,3,1.8328184540426784,0.7644565862780424,0.7644565862780425,0.7644565862780425
0,0.7,good,14,1.817134091167855,0.7500596736699807,0.7500596736699806,0.7500596736699806
0,0.7,bad,8,1.817134091167855,0.7500596736699807,0.7500596736699807,0.7500596736699807
0,0.8,good,14,1.8017451102821653,0.7359338966329008,0.7359338966329007,0.7359338966329007
0,0.8,bad,14,1.8017451102821653,0.7359338966329008,0.7359338966329007,0.7359338966329007
0,0.9,good,14,1.7866459484870576,0.7220741488985447,0.7220741488985445,0.7220741488985445
0,0.9,bad,10,1.7866459484870576,0.7220741488985447,0.7220741488985446,0.7220741488985446
0,1.0,good,18,1.771831147649477,0.7084754203644799,0.7084754203644797,0.7084754203644797
0,1.0,bad,5,1.771831147649477,0.7084754203644799,0.7084754203644799,0.7084754203644799
1,-1.0,good,7,1.8859887374789772,0.8132623892352688,0.8132623892352688,0.8132623892352688
1,-1.0,bad,9,1.8859887374789772,0.8132623892352688,0.8132623892352688,0.8132623892352688
1,-0.9,good,12,1.9029928798111373,0.828870747259433,0.8288707472594331,0.8288707472594331
1,-0.9,bad,15,1.9029928798111373,0.828870747259433,0.8288707472594331,0.8288707472594331
1,-0.8,good,14,1.9203234061594248,0.8447786980814913,0.8447786980814912,0.8447786980814912
1,-0.8,bad,8,1.9203234061594248,0.8447786980814913,0.8447786980814913,0.8447786980814913
1,-0.7,good,9,1.9379865812635653,0.8609919922002724,0.8609919922002724,0.8609919922002724
1,-0.7,bad,2,1.9379865812635653,0.8609919922002724,0.8609919922002724,0.8609919922002724
1,-0.6,good,10,1.9559887901110988,0.8775164904918829,0.8775164904918829,0.8775164904918829
1,-0.6,bad,7,1.9559887901110988,0.8775164904918829,0.8775164904918827,0.8775164904918827
1,-0.5,good,13,1.9743365402454573,0.8943581663283255,0.8943581663283257,0.8943581663283257
1,-0.5,bad,4,1.9743365402454573,0.8943581663283255,0.8943581663283255,0.8943581663283255
1,-0.4,good,19,1.993036464118355,0.9115231077367949,0.9115231077367948,0.9115231077367948
1,-0.4,bad,5,1.993036464118355,0.9115231077367949,0.9115231077367948,0.9115231077367948
1,-0.3,good,8,2.012095321487319,0.9290175196004058,0.9290175196004058,0.9290175196004058
1,-0.3,bad,1,2.012095321487319,0.9290175196004058,0.9290175196004058,0.9290175196004058
1,-0.2,good,18,2.0315200018592536,0.9468477259011783,0.9468477259011784,0.9468477259011784
1,-0.2,bad,5,2.0315200018592536,0.9468477259011783,0.9468477259011783,0.9468477259011783
1,-0.1,good,12,2.0513175269808923,0.9650201720060603,0.9650201720060602,0.9650201720060602
1,-0.1,bad,1,2.0513175269808923,0.9650201720060603,0.9650201720060603,0.9650201720060603
1,0.0,good,13,2.0714950533770655,0.9835414269968425,0.9835414269968423,0.9835414269968423
1,0.0,bad,1,2.0714950533770655,0.9835414269968425,0.9835414269968425,0.9835414269968425
1,0.1,good,21,2.092059874937679,1.0024181860447852,1.0024181860447852,1.0024181860447852
1,0.1,bad,4,2.092059874937679,1.0024181860447852,1.0024181860447852,1.0024181860447852
1,0.2,good,18,2.113019425554353,1.0216572728308273,1.021657272830827,1.021657272830827
1,0.2,bad,1,2.113019425554353,1.0216572728308273,1.0216572728308273,1.0216572728308273
1,0.3,good,20,2.134381281807669,1.041265642012252,1.041265642012252,1.041265642012252
1,0.4,good,24,2.156153165705996,1.0612503817366958,1.0612503817366958,1.0612503817366958
