method,Gamma,realized_train,realized_test,objective
R-OW,1.0,0.6998214285714306,0.6610714285714305,0.8658246424299311
R-OW,3.0,0.7364629337539434,0.7098517350157736,0.6709780074739289
R-OW,6.0,0.7424324324324327,0.7136370656370663,0.6181611061280939
R-OW,9.0,0.7430338541666669,0.7138020833333335,0.589005374671194
R-OW,12.1825,0.7393749999999994,0.6989833333333322,0.5711131200462946
R-OW,16.0,0.7393749999999993,0.6989833333333317,0.5584803021395671
R-O,1.0,0.6998214285714306,0.6610714285714305,0.8658246424299715
R-O,3.0,0.6617598967297755,0.6277788296041306,0.5820212875357512
R-O,6.0,0.6876785714285694,0.6499285714285695,0.49505567961697794
R-O,9.0,0.6876785714285694,0.6499285714285695,0.4703942626017951
R-O,12.1825,0.6876785714285694,0.6499285714285695,0.4575093933794147
R-O,16.0,0.6876785714285694,0.6499285714285695,0.44881552271351016
IPW,1.0,0.6998214285714306,0.6610714285714305,0.86582464242997
IPW,3.0,0.6998214285714306,0.6610714285714305,0.86582464242997
IPW,6.0,0.6998214285714306,0.6610714285714305,0.86582464242997
IPW,9.0,0.6998214285714306,0.6610714285714305,0.86582464242997
IPW,12.1825,0.6998214285714306,0.6610714285714305,0.86582464242997
IPW,16.0,0.6998214285714306,0.6610714285714305,0.86582464242997
AIPW,1.0,0.727408536585365,0.702317073170732,0.8265173766228899
AIPW,3.0,0.727408536585365,0.702317073170732,0.8265173766228899
AIPW,6.0,0.727408536585365,0.702317073170732,0.8265173766228899
AIPW,9.0,0.727408536585365,0.702317073170732,0.8265173766228899
AIPW,12.1825,0.727408536585365,0.702317073170732,0.8265173766228899
AIPW,16.0,0.727408536585365,0.702317073170732,0.8265173766228899
Regret-O,1.0,0.6998214285714306,0.6610714285714305,-0.209102716904258
Regret-O,3.0,0.64625,0.6125,0.0
Regret-O,6.0,0.64625,0.6125,0.0
Regret-O,9.0,0.64625,0.6125,0.0
Regret-O,12.1825,0.64625,0.6125,0.0
Regret-O,16.0,0.64625,0.6125,0.0
Hajek-OW,1.0,0.6998214285714306,0.6610714285714305,-0.209102716904258
Hajek-OW,3.0,0.7286458333333333,0.70675,-0.056961430618302444
Hajek-OW,6.0,0.73,0.7014,-0.02807473951549048
Hajek-OW,9.0,0.72015625,0.68825,-0.01681259677921098
Hajek-OW,12.1825,0.72015625,0.68825,-0.010861222893076485
Hajek-OW,16.0,0.7134722222222223,0.6813888888888888,-0.004656851905358104
R-OW-DR,1.0,0.727408536585365,0.702317073170732,0.8265173766229166
R-OW-DR,3.0,0.7246090453621968,0.7046865259396441,0.6929874049543095
R-OW-DR,6.0,0.7340735307997448,0.717531633181502,0.6307706639140055
R-OW-DR,9.0,0.7321227548379718,0.7149945226966387,0.59722908697531
R-OW-DR,12.1825,0.7318416117703864,0.714307090742627,0.5714646221582894
R-OW-DR,16.0,0.7309596666414879,0.713049992064734,0.5453524734987137
R-O-DR,1.0,0.727408536585365,0.702317073170732,0.8265173766228899
R-O-DR,3.0,0.6990104166666669,0.6682083333333335,0.6730559178548446
R-O-DR,6.0,0.7084715428941533,0.6804206124946451,0.5519732408938065
R-O-DR,9.0,0.7254446590683092,0.7027456979488496,0.48909346909956725
R-O-DR,12.1825,0.7114044702804648,0.6881912331818739,0.4671289889070703
R-O-DR,16.0,0.725358096747418,0.696245107488882,0.45447559518405267
Kallus,1.0,0.6572588886123677,0.6438734866015787,-0.12925716724686706
Kallus,3.0,0.6408756010473462,0.6199823297425665,0.03525904965213219
Kallus,6.0,0.6422205037126542,0.6176337495048088,0.09590137051265438
Kallus,9.0,0.6423326862024351,0.6173152358670649,0.10088750431386125
Kallus,12.1825,0.64254376114667,0.6173157707221385,0.10354245369948646
Kallus,16.0,0.6426689490719018,0.6173012387848842,0.10526244560877793
