seed,Gamma,extension,realized_train,realized_train_dep,realized_test,exp_train,exp_test,objective_value,obj_kind,train_use_0,train_use_1,cap_0,cap_1
0,1.0,shapley,0.6063636363636362,0.5701179387194256,0.5132707402785299,0.538417380234398,0.5282224171878853,0.8212558468436747,worst_case_value,0.40000000000000024,0.5999999999999998,1.0,0.6
0,1.0,knn,0.6063636363636362,0.5520550178738821,0.5063720680062428,0.5342124618275041,0.5245233188415552,0.8212558468436747,worst_case_value,0.40000000000000024,0.5999999999999998,1.0,0.6
0,3.0,shapley,0.6055555555555555,0.5719200503763241,0.5112595015358314,0.5391120122208657,0.5289193945475312,0.5444410257162225,worst_case_value,0.4000000000000003,0.5999999999999998,1.0,0.6
0,3.0,knn,0.6055555555555555,0.55306340238702,0.5055050243801462,0.5349442094926572,0.5251478129147962,0.5444410257162225,worst_case_value,0.4000000000000003,0.5999999999999998,1.0,0.6
0,4.4817,shapley,0.6055555555555555,0.5719200503763241,0.5112595015358314,0.5391120122208657,0.5289193945475312,0.4988912861522788,worst_case_value,0.4000000000000003,0.5999999999999998,1.0,0.6
0,4.4817,knn,0.6055555555555555,0.55306340238702,0.5055050243801462,0.5349442094926572,0.5251478129147962,0.4988912861522788,worst_case_value,0.4000000000000003,0.5999999999999998,1.0,0.6
0,7.0,shapley,0.6055555555555555,0.5719200503763241,0.5112595015358314,0.5391120122208657,0.5289193945475312,0.4657128205450478,worst_case_value,0.4000000000000003,0.5999999999999998,1.0,0.6
0,7.0,knn,0.6055555555555555,0.55306340238702,0.5055050243801462,0.5349442094926572,0.5251478129147962,0.4657128205450478,worst_case_value,0.4000000000000003,0.5999999999999998,1.0,0.6
1,1.0,shapley,0.5733333333333334,0.5618519585059212,0.5367221266141855,0.5382138115001144,0.5416962998173713,0.7746774804153321,worst_case_value,0.4633333333333333,0.5366666666666666,1.0,0.6
1,1.0,knn,0.5733333333333334,0.5562915845913564,0.5392943814155501,0.5395111536374992,0.5414568193340293,0.7746774804153321,worst_case_value,0.4633333333333333,0.5366666666666666,1.0,0.6
1,3.0,shapley,0.56,0.5573669965651452,0.542761584503047,0.5422523667807703,0.5450678266855894,0.521344600192335,worst_case_value,0.4766666666666667,0.5233333333333333,1.0,0.6
1,3.0,knn,0.56,0.555145794438076,0.5420985104853109,0.5417847973376079,0.5434146341388149,0.521344600192335,worst_case_value,0.4766666666666667,0.5233333333333333,1.0,0.6
1,4.4817,shapley,0.56,0.5573669965651452,0.542761584503047,0.5422523667807703,0.5450678266855894,0.4801246849581644,worst_case_value,0.4766666666666667,0.5233333333333333,1.0,0.6
1,4.4817,knn,0.56,0.555145794438076,0.5420985104853109,0.5417847973376079,0.5434146341388149,0.4801246849581644,worst_case_value,0.4766666666666667,0.5233333333333333,1.0,0.6
1,7.0,shapley,0.56,0.5573669965651452,0.542761584503047,0.5422523667807703,0.5450678266855894,0.45010006674909603,worst_case_value,0.4766666666666667,0.5233333333333333,1.0,0.6
1,7.0,knn,0.56,0.555145794438076,0.5420985104853109,0.5417847973376079,0.5434146341388149,0.45010006674909603,worst_case_value,0.4766666666666667,0.5233333333333333,1.0,0.6
2,1.0,shapley,0.5866666666666667,0.5415041154416995,0.5297465387370157,0.5451592451250484,0.5459741542413732,0.6864613707334611,worst_case_value,0.5533333333333333,0.44666666666666666,1.0,0.6
2,1.0,knn,0.5866666666666667,0.5352344738932783,0.5322500104397994,0.5497730821484633,0.5500436560054764,0.6864613707334611,worst_case_value,0.5533333333333333,0.44666666666666666,1.0,0.6
2,3.0,shapley,0.5833333333333334,0.5392626666168551,0.5281108582511449,0.5443992421297994,0.5451074611354179,0.4554871235778207,worst_case_value,0.5466666666666666,0.4533333333333333,1.0,0.6
2,3.0,knn,0.5833333333333334,0.531799897709203,0.530065020418233,0.5477035541539461,0.5480637725949706,0.4554871235778207,worst_case_value,0.5466666666666666,0.4533333333333333,1.0,0.6
2,4.4817,shapley,0.5866666666666667,0.5415041154416995,0.5297465387370157,0.5451592451250484,0.5459741542413732,0.4173057926084883,worst_case_value,0.5533333333333333,0.44666666666666666,1.0,0.6
2,4.4817,knn,0.5866666666666667,0.5352344738932783,0.5322500104397994,0.5497730821484633,0.5500436560054764,0.4173057926084883,worst_case_value,0.5533333333333333,0.44666666666666666,1.0,0.6
2,7.0,shapley,0.5866666666666667,0.5415041154416995,0.5297465387370157,0.5451592451250484,0.5459741542413732,0.38949448153335164,worst_case_value,0.5533333333333333,0.44666666666666666,1.0,0.6
2,7.0,knn,0.5866666666666667,0.5352344738932783,0.5322500104397994,0.5497730821484633,0.5500436560054764,0.38949448153335164,worst_case_value,0.5533333333333333,0.44666666666666666,1.0,0.6
